Segment,Year_Range,Count,Avg_Price($),Avg_Mileage(km)
Budget,"(2005.0, 2008.0]",4648,3016.0,12.5
Budget,"(2008.0, 2012.0]",3462,4740.0,12.3
Budget,"(2012.0, 2015.0]",4443,7237.0,12.1
Budget,"(2015.0, 2019.0]",3160,10405.0,11.7
Budget,"(2019.0, 2022.0]",1519,10703.0,11.3
Mid-range,"(2005.0, 2009.0]",2938,6773.0,12.5
Mid-range,"(2009.0, 2013.0]",3097,11216.0,12.3
Mid-range,"(2013.0, 2016.0]",3260,17969.0,12.0
Mid-range,"(2016.0, 2020.0]",3041,27794.0,11.5
Mid-range,"(2020.0, 2024.0]",876,49884.0,10.8
Luxury,"(2019.0, 2020.0]",1063,19679.0,11.3
Luxury,"(2020.0, 2021.0]",1227,21094.0,11.0
Luxury,"(2021.0, 2023.0]",1542,22702.0,10.7
Luxury,"(2023.0, 2024.0]",1846,28243.0,10.3
Luxury,"(2024.0, 2025.0]",3878,36307.0,7.8
